dimension,segment,control_n,treatment_n,control_conversion,treatment_conversion,difference,relative_lift,p_value
plan_type,Free,361.0,368.0,0.030470914127423823,0.09239130434782608,0.06192039022040226,2.0321146245059287,0.0005141255638732919
device_type,Mobile,428.0,436.0,0.02570093457943925,0.07339449541284404,0.047693560833404786,1.8557130942452045,0.0012680416992730612
traffic_source,Organic,246.0,241.0,0.02032520325203252,0.06224066390041494,0.04191546064838242,2.062240663900415,0.01978193461174236
traffic_source,Paid Search,156.0,176.0,0.01282051282051282,0.0625,0.04967948717948718,3.8750000000000004,0.01985103462772832
region,North,203.0,180.0,0.034482758620689655,0.08888888888888889,0.05440613026819924,1.577777777777778,0.025303060941759388
traffic_source,Referral,81.0,91.0,0.024691358024691357,0.10989010989010989,0.08519875186541853,3.4505494505494507,0.02857329577100736
region,South,184.0,184.0,0.03260869565217391,0.07608695652173914,0.04347826086956522,1.3333333333333335,0.06583577483585527
region,East,158.0,172.0,0.02531645569620253,0.06395348837209303,0.0386370326758905,1.5261627906976747,0.09232372590694965
device_type,Tablet,56.0,56.0,0.017857142857142856,0.07142857142857142,0.05357142857142857,3.0,0.16986751025139635
plan_type,Premium,109.0,112.0,0.027522935779816515,0.0625,0.034977064220183485,1.2708333333333333,0.21103619976935195
traffic_source,Email,74.0,56.0,0.02702702702702703,0.07142857142857142,0.044401544401544396,1.6428571428571426,0.2321673907308327
device_type,Desktop,200.0,214.0,0.045,0.06542056074766354,0.020420560747663546,0.45379023883696773,0.36470482023490547
region,West,148.0,179.0,0.033783783783783786,0.05027932960893855,0.016495545825154764,0.488268156424581,0.4632930325156852
traffic_source,Social,130.0,133.0,0.07692307692307693,0.06015037593984962,-0.016772700983227307,-0.218045112781955,0.5901691085683545
plan_type,Basic,223.0,235.0,0.03587443946188341,0.03829787234042553,0.002423432878542124,0.06755319148936172,0.8909345621785106
